a,b,c,d,e,f,g,result
89,3.2022,0.4045,0.6292,0.1348,0.4719,0.0562,0.4815
85,1.6706,0.1176,0.3176,0.0235,0.1765,0.0000,0.4012
145,3.1862,0.2690,0.7034,0.0828,0.4759,0.0000,0.5123
1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5741
153,3.4902,0.5490,0.9673,0.1895,0.6078,0.0327,0.5864
89,3.2022,0.4382,0.7528,0.1236,0.3708,0.1573,0.4568
49,3.5918,0.5918,0.8163,0.2041,0.5714,0.0816,0.4136
3,0.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000
149,3.7785,0.4631,1.0268,0.2081,0.6980,0.0268,0.4813
79,2.9494,0.1392,0.6076,0.0633,0.3038,0.0000,0.4630
134,3.3433,0.4776,0.5970,0.1866,0.4776,0.0075,0.5185
31,2.0000,0.0968,0.2581,0.0000,0.1290,0.0000,0.4815
28,1.6429,0.0000,0.0714,0.0000,0.0000,0.0000,0.5185
16,1.8750,0.0625,0.3125,0.0000,0.0000,0.0000,0.5185
61,2.4098,0.2459,0.5574,0.0656,0.3443,0.0000,0.5123
28,1.4643,0.0357,0.1429,0.0000,0.0000,0.0000,0.4012
151,3.7285,0.5497,0.8874,0.0662,0.3377,0.3709,0.4410
149,4.0805,0.5503,1.0604,0.1275,0.3960,0.1074,0.4136
96,1.8958,0.2500,0.5000,0.0104,0.2292,0.0000,0.5247
67,0.0299,0.0000,0.0000,0.0000,0.0000,0.0000,0.4568
18,3.1667,0.2778,0.6667,0.0000,0.1667,0.0000,0.5000
37,2.4054,0.1892,0.5405,0.0000,0.1351,0.0270,0.4783
111,3.2523,0.4595,0.9099,0.0541,0.3153,0.0450,0.4568
11,1.0909,0.0000,0.0909,0.0000,0.0909,0.0000,0.5185
123,3.3089,0.6179,0.9187,0.1382,0.3984,0.0081,0.5247
45,0.5111,0.0667,0.0444,0.0000,0.0222,0.0000,0.4630
36,2.3333,0.1667,0.4167,0.0000,0.0556,0.0000,0.6049
39,1.7436,0.2051,0.4103,0.0256,0.1026,0.0513,0.5617
100,3.3300,0.4600,0.8600,0.1200,0.4000,0.0500,0.4568
142,3.4648,0.4155,0.9014,0.0845,0.3521,0.1479,0.4813
63,3.9048,0.7619,1.1587,0.0476,0.1905,0.3810,0.4815
67,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5185
135,2.7778,0.3481,0.8370,0.0148,0.3481,0.0370,0.5062
115,3.0261,0.2870,0.7304,0.0522,0.3130,0.0174,0.4783
10,1.5000,0.0000,0.3000,0.0000,0.1000,0.0000,0.3519
148,3.2432,0.3446,0.8311,0.0338,0.2230,0.0270,0.4383
43,1.9070,0.1628,0.4651,0.0233,0.2558,0.0930,0.6049
10,1.9000,0.4000,0.2000,0.0000,0.0000,0.0000,0.4012
101,2.6733,0.3465,0.7228,0.0594,0.3762,0.0198,0.4136
2,1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6049
57,2.2807,0.2281,0.4035,0.0000,0.1228,0.0526,0.5185
19,1.6316,0.3158,0.4211,0.0526,0.3158,0.0000,0.5247
51,0.0588,0.0000,0.0000,0.0000,0.0000,0.0000,0.4410
132,2.6364,0.3864,0.6970,0.0000,0.1364,0.1591,0.4630
66,3.4848,0.4848,0.9848,0.0303,0.3939,0.1061,0.5000
129,3.2868,0.2326,0.8605,0.0000,0.2403,0.0388,0.3519
8,1.6250,0.1250,0.2500,0.0000,0.0000,0.0000,0.4783
145,3.8483,0.5586,1.0483,0.0276,0.2621,0.1586,0.5185
162,3.8519,0.6296,1.0062,0.2716,0.8210,0.0000,0.5185
159,3.7484,0.5283,1.0692,0.0503,0.3396,0.2138,0.4012
134,3.4328,0.3134,0.8284,0.1343,0.5522,0.0075,0.5370
71,2.7887,0.2394,0.5634,0.0563,0.3944,0.0563,0.4410
64,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4136
46,2.9565,0.1087,0.6739,0.0217,0.2609,0.0000,0.4815
90,2.7556,0.1556,0.5667,0.0111,0.3111,0.0000,0.5370
3,2.6667,0.3333,0.3333,0.0000,0.0000,0.3333,0.5000
86,1.9535,0.1395,0.4070,0.0000,0.1744,0.0233,0.4410
11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4568
52,0.0192,0.0000,0.0000,0.0000,0.0000,0.0000,0.4783
146,4.0342,0.7397,1.3767,0.1027,0.5342,0.2466,0.5247
35,0.0571,0.0000,0.0000,0.0000,0.0000,0.0000,0.5185
34,0.2059,0.0000,0.0000,0.0000,0.0000,0.0000,0.5802
31,0.0645,0.0000,0.0000,0.0000,0.0000,0.0000,0.4410
149,3.7383,0.4362,0.9664,0.1409,0.6107,0.0805,0.5185
152,3.8553,0.3816,0.9474,0.1184,0.4342,0.0329,0.5000
139,2.9353,0.3741,0.7770,0.0576,0.3022,0.0791,0.5864
107,3.5047,0.3178,0.7664,0.0841,0.3084,0.0467,0.4410
90,3.0000,0.3556,0.8778,0.0111,0.3333,0.0222,0.5000
159,3.0314,0.4214,0.7484,0.0755,0.3082,0.0377,0.5185
140,3.7571,0.4500,1.0643,0.0143,0.3357,0.0286,0.5123
154,3.6429,0.6558,0.9156,0.2078,0.6818,0.2208,0.5802
12,2.0000,0.1667,0.5000,0.0000,0.0833,0.0000,0.6049
5,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4012
13,2.8462,0.2308,0.4615,0.0000,0.0769,0.0000,0.4783
27,2.0370,0.0370,0.1852,0.0000,0.1481,0.0000,0.4410
14,0.1429,0.0000,0.0000,0.0000,0.0000,0.0000,0.5185
11,0.3636,0.0909,0.0000,0.0000,0.0000,0.0000,0.4630
46,2.0435,0.1522,0.2174,0.0652,0.1739,0.0000,0.5185
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5123
64,2.0000,0.1094,0.4375,0.0313,0.1875,0.0000,0.4383
9,2.6667,0.2222,0.4444,0.0000,0.0000,0.1111,0.5617
132,3.5000,0.6136,0.8258,0.1212,0.4167,0.1364,0.5062
68,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5185
81,3.3086,0.3457,0.7160,0.0617,0.2469,0.1728,0.5185
21,2.2381,0.1429,0.4286,0.0000,0.2857,0.0000,0.4813
126,3.6587,0.5159,0.9048,0.0476,0.4127,0.1190,0.5864
36,2.0556,0.0278,0.4722,0.0000,0.1667,0.0278,0.5802
118,3.3136,0.3390,0.7712,0.1356,0.3814,0.0085,0.4136
42,0.6667,0.0714,0.0000,0.0000,0.0000,0.0000,0.5741
16,1.2500,0.1250,0.1250,0.0625,0.1875,0.0000,0.6049
33,2.0909,0.3030,0.3333,0.0303,0.1212,0.2424,0.3519
142,3.8380,0.5493,1.0141,0.1901,0.7183,0.0282,0.5247
137,3.4526,0.3723,0.8759,0.0949,0.5036,0.0730,0.4012
71,1.6620,0.2254,0.3239,0.0141,0.0845,0.0000,0.5617
27,2.3333,0.2593,0.5556,0.0370,0.2222,0.0370,0.4783
16,0.4375,0.1875,0.0625,0.0000,0.0000,0.0625,0.5741
46,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5062
55,0.0364,0.0000,0.0182,0.0000,0.0000,0.0000,0.5741
160,3.8688,0.5438,1.0563,0.0500,0.3625,0.0188,0.4813
3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5185
107,2.0935,0.3458,0.5888,0.0561,0.2897,0.0093,0.5370
8,2.5000,0.0000,0.3750,0.0000,0.1250,0.0000,0.5247
147,3.7007,0.5170,1.1088,0.0612,0.5646,0.1020,0.5185
38,1.8684,0.1053,0.5000,0.0526,0.1842,0.0000,0.4815
72,1.4861,0.1806,0.2778,0.0139,0.0556,0.0278,0.5802
109,3.2110,0.2477,0.7798,0.0000,0.2477,0.0459,0.5741
30,2.8333,0.3333,0.8000,0.0333,0.3000,0.0000,0.5123
154,3.5584,0.4935,1.1623,0.1429,0.6494,0.1169,0.5123
12,1.4167,0.1667,0.0833,0.0000,0.0000,0.0000,0.4815
148,3.7703,0.4932,1.0068,0.0405,0.2635,0.5135,0.4410
48,0.5208,0.0833,0.1458,0.0000,0.0625,0.0000,0.5741
29,0.7586,0.0345,0.0690,0.0000,0.0345,0.0000,0.4568
113,3.7965,0.5133,0.9558,0.1770,0.5752,0.1062,0.5617
115,3.7130,0.3565,1.0087,0.0696,0.6087,0.0348,0.5185
64,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4383
154,3.4026,0.3377,0.9286,0.0195,0.3182,0.1364,0.5370
35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5185
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4630
42,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5864
94,1.4787,0.1915,0.3723,0.0532,0.2340,0.0106,0.5741
134,3.9552,0.5149,1.2537,0.0299,0.4627,0.0597,0.5185
141,3.4894,0.4752,0.9929,0.1348,0.5674,0.0000,0.4383
122,3.3197,0.5246,1.0328,0.0082,0.4672,0.1311,0.5123
41,2.2927,0.0976,0.5122,0.0244,0.3415,0.0000,0.5741
1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5185
20,1.7000,0.2000,0.6000,0.0000,0.0500,0.0000,0.4568
16,1.6875,0.0625,0.1250,0.0000,0.0625,0.0000,0.4410
53,1.0566,0.0566,0.2830,0.0189,0.0943,0.0189,0.5741
9,2.1111,0.0000,0.1111,0.0000,0.0000,0.0000,0.5185
4,1.2500,0.5000,0.5000,0.0000,0.0000,0.0000,0.4813
33,1.8788,0.1212,0.1818,0.0000,0.1212,0.0000,0.4012
123,3.5854,0.4390,1.1138,0.0813,0.5610,0.0081,0.5864
18,0.4444,0.2222,0.1667,0.0556,0.1111,0.0556,0.5247
20,1.8000,0.0000,0.1500,0.0000,0.1000,0.0000,0.5185
145,2.9586,0.4069,0.8483,0.0207,0.2621,0.0828,0.5741
40,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5741
18,0.0556,0.0000,0.0000,0.0000,0.0000,0.0000,0.4815
67,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000
52,2.2885,0.0962,0.5192,0.0192,0.2692,0.0192,0.4410
138,3.2029,0.3261,0.8406,0.0290,0.2971,0.0797,0.4568
142,3.2394,0.2394,0.7465,0.0845,0.3732,0.0211,0.4815
77,3.6883,0.5584,0.8312,0.0000,0.2727,0.1169,0.4815
49,2.8367,0.0816,0.5918,0.0204,0.2449,0.0000,0.5802
44,0.3182,0.0000,0.0909,0.0000,0.0227,0.0000,0.6049
14,0.8571,0.2857,0.3571,0.0000,0.2143,0.0000,0.5802
23,1.0000,0.1739,0.2174,0.0000,0.0000,0.0435,0.5185
150,3.8133,0.5733,1.0533,0.1667,0.5667,0.0400,0.5185
134,3.5075,0.7836,0.9403,0.1343,0.4254,0.4328,0.5185
60,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5185
32,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5123
52,0.0192,0.0000,0.0000,0.0000,0.0000,0.0000,0.4012
7,1.0000,0.0000,0.4286,0.0000,0.0000,0.0000,0.4630
15,0.9333,0.0667,0.2000,0.0000,0.0667,0.0667,0.5741
9,0.2222,0.0000,0.0000,0.0000,0.0000,0.0000,0.5185
45,2.1778,0.1778,0.4000,0.0000,0.0889,0.0000,0.5247
32,0.3125,0.0000,0.0000,0.0000,0.0000,0.0000,0.4012
70,2.2143,0.2429,0.4286,0.0143,0.2000,0.1000,0.4783
32,1.8750,0.1875,0.4688,0.0000,0.2188,0.0625,0.4630
21,1.4762,0.2857,0.3810,0.0000,0.0952,0.0476,0.5741
17,0.7059,0.0000,0.0000,0.0000,0.0000,0.0000,0.4630
77,2.7143,0.4675,0.6494,0.0130,0.2597,0.0130,0.5000
35,2.8286,0.4000,0.7143,0.0857,0.3143,0.0571,0.5617
37,3.2973,0.4054,0.8649,0.1351,0.3784,0.1081,0.3519
30,1.6667,0.0667,0.1667,0.0000,0.1000,0.0000,0.5185
22,0.0455,0.0000,0.0000,0.0000,0.0000,0.0000,0.4568
107,3.1869,0.3364,0.7757,0.1028,0.2897,0.0000,0.4136
56,2.6964,0.3214,0.8036,0.1071,0.3750,0.0179,0.4815
43,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5185
121,2.6198,0.3719,0.6116,0.1901,0.5041,0.0000,0.4136
11,0.7273,0.1818,0.1818,0.0000,0.0000,0.0909,0.5185
9,0.6667,0.1111,0.1111,0.0000,0.0000,0.0000,0.5123
94,2.5106,0.2128,0.5426,0.0106,0.1809,0.0319,0.5062
106,2.6509,0.2830,0.6604,0.0377,0.2075,0.0943,0.5185
44,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5741
32,2.5313,0.3438,0.5313,0.0625,0.2188,0.0313,0.5000
58,2.7586,0.4138,0.5690,0.1034,0.2759,0.0000,0.5185
21,2.0000,0.2381,0.3333,0.0476,0.1429,0.0000,0.5185
132,3.5000,0.5455,0.9924,0.1515,0.6742,0.0303,0.5864
101,2.0495,0.2079,0.4653,0.0099,0.1485,0.1188,0.5185
51,2.8627,0.5490,0.6863,0.0392,0.1961,0.2157,0.3519
51,1.9020,0.2745,0.5098,0.0196,0.2941,0.0588,0.5370
5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6049
79,2.6076,0.3671,0.5316,0.0886,0.2278,0.0000,0.4136
25,1.6000,0.3600,0.3200,0.0000,0.1200,0.0800,0.4383
21,2.8571,0.2381,0.3810,0.0476,0.3333,0.0000,0.4783
97,2.7938,0.3299,0.7010,0.1237,0.5155,0.0000,0.5802
31,2.1613,0.0968,0.2903,0.0000,0.1935,0.0000,0.5185
119,2.2521,0.3025,0.4790,0.0168,0.2185,0.0672,0.5247
97,3.4742,0.3918,0.7423,0.1134,0.3918,0.0103,0.5185
69,0.0290,0.0000,0.0000,0.0000,0.0000,0.0000,0.4783
23,3.0870,0.3478,0.6957,0.1304,0.6087,0.0000,0.5370
17,1.3529,0.0588,0.1176,0.0000,0.0588,0.0000,0.4813
122,2.9426,0.4180,0.7705,0.1721,0.4016,0.0410,0.5185
72,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5123
66,3.5000,0.2121,0.8182,0.0606,0.3636,0.0000,0.3519
56,3.3571,0.2500,0.7143,0.0000,0.3571,0.0357,0.5185
115,3.8000,0.2696,0.9043,0.0435,0.3565,0.0261,0.3519
121,1.4545,0.1736,0.2975,0.0083,0.0909,0.0579,0.5741
70,0.0143,0.0143,0.0143,0.0000,0.0143,0.0000,0.5247
136,3.5735,0.4338,0.9706,0.0662,0.4559,0.1912,0.4783
5,1.4000,0.2000,0.2000,0.2000,0.2000,0.0000,0.4568
26,3.8846,0.3846,0.7692,0.0769,0.4615,0.0000,0.3519
13,1.4615,0.1538,0.0769,0.0000,0.0000,0.1538,0.4568
8,1.1250,0.0000,0.1250,0.0000,0.0000,0.0000,0.5185
156,3.6154,0.6923,0.9359,0.2436,0.7500,0.1923,0.4783
159,3.6981,0.4528,1.0126,0.0000,0.3082,0.1635,0.5370
77,0.0130,0.0000,0.0000,0.0000,0.0000,0.0000,0.4410
52,1.7115,0.2692,0.5000,0.0385,0.1154,0.0385,0.4568
26,1.4615,0.1538,0.2692,0.0000,0.0000,0.0000,0.4012
28,0.9286,0.0000,0.1429,0.0000,0.1071,0.0000,0.4815
16,1.5000,0.0625,0.2500,0.0000,0.1250,0.0000,0.5185
79,2.2152,0.3797,0.5570,0.0380,0.3038,0.0253,0.5123
101,2.9802,0.3762,0.8119,0.0891,0.4851,0.0000,0.4815
154,3.6883,0.4481,1.1234,0.0519,0.5000,0.1299,0.5185
143,3.8531,0.5524,1.1608,0.1469,0.6713,0.0140,0.5000
4,1.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.4012
109,3.6330,0.6147,1.0000,0.1927,0.7982,0.0734,0.5802
75,2.2267,0.3333,0.5467,0.0667,0.2933,0.0000,0.5370
14,1.0000,0.0000,0.0714,0.0000,0.0714,0.0000,0.5741
96,3.1042,0.3646,0.7500,0.0313,0.2396,0.1250,0.4383
126,3.8571,0.5397,1.0317,0.1587,0.5476,0.2540,0.4383
69,2.4783,0.1739,0.5797,0.0435,0.1884,0.0000,0.4630
37,1.0270,0.0541,0.0000,0.0000,0.0270,0.0000,0.4012
91,1.2088,0.1429,0.2198,0.0000,0.0879,0.0110,0.4630
33,3.3030,0.4848,0.7879,0.1212,0.5455,0.0909,0.6049
52,0.0192,0.0000,0.0000,0.0000,0.0000,0.0000,0.6049
21,2.0476,0.1905,0.4286,0.0000,0.2381,0.0476,0.3519
17,2.7647,0.4118,0.5294,0.1176,0.4118,0.0000,0.5370
151,3.7417,0.5166,1.0530,0.0066,0.3311,0.1656,0.5864
3,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.5617
24,1.0417,0.0417,0.1250,0.0000,0.0833,0.0417,0.5185
3,1.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.5247
152,3.5395,0.5526,1.0395,0.1382,0.6053,0.0461,0.4815
18,0.5000,0.1111,0.1111,0.0000,0.0000,0.0000,0.4630
58,2.7241,0.2069,0.6207,0.0172,0.1897,0.0000,0.4815
38,1.5263,0.1053,0.2895,0.0000,0.0789,0.0000,0.5185
64,0.4375,0.0313,0.0781,0.0000,0.0313,0.0000,0.4813
61,0.0656,0.0000,0.0000,0.0000,0.0000,0.0000,0.6049
56,1.5357,0.5000,0.3571,0.0000,0.1071,0.4821,0.4813
151,3.7483,0.5497,0.9404,0.0596,0.4570,0.2914,0.5185
5,3.2000,0.0000,0.2000,0.0000,0.2000,0.0000,0.5185
2,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4815
123,3.7724,0.7154,1.1382,0.1626,0.5610,0.1951,0.4568
98,2.6020,0.3469,0.7449,0.0204,0.1939,0.0204,0.5864
108,3.1111,0.2315,0.8981,0.0278,0.3796,0.0185,0.6049
74,1.8108,0.1486,0.3784,0.0000,0.1216,0.0000,0.5185
23,0.0435,0.0000,0.0000,0.0000,0.0000,0.0000,0.4568
50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5864
138,3.2246,0.2971,0.7536,0.0000,0.2101,0.0507,0.5617
3,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4568
54,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.5185
36,1.9444,0.0278,0.0833,0.0000,0.0556,0.0000,0.5802
109,1.8257,0.3211,0.5229,0.0459,0.1835,0.0459,0.5864
136,1.9779,0.2647,0.4632,0.0147,0.1691,0.0074,0.5802
9,0.8889,0.2222,0.1111,0.0000,0.1111,0.0000,0.5123
64,2.0156,0.2188,0.4844,0.0313,0.2188,0.0000,0.4630
72,3.0833,0.5694,0.7639,0.0139,0.2083,0.1806,0.4630
12,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.5185
84,3.7381,0.3452,0.9881,0.0000,0.3571,0.0238,0.3519
32,2.4063,0.2500,0.4375,0.0000,0.1250,0.0000,0.4383
6,0.3333,0.0000,0.0000,0.0000,0.1667,0.0000,0.5185
65,1.4615,0.2000,0.4923,0.0000,0.1846,0.0000,0.4815
150,3.3467,0.3533,0.8867,0.0200,0.3600,0.0467,0.6049
1,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4815
10,2.2000,0.5000,0.9000,0.0000,0.1000,0.0000,0.5062
59,2.1525,0.2203,0.3898,0.0169,0.2542,0.0000,0.4630
44,2.8864,0.4318,0.8409,0.0455,0.2500,0.0455,0.5185
20,3.7000,0.4500,0.7500,0.0000,0.0000,0.1000,0.4012
3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4410
35,2.3429,0.2000,0.5143,0.0000,0.2000,0.0000,0.3519
22,2.3182,0.0000,0.4091,0.0000,0.0909,0.0000,0.4383
11,0.6364,0.1818,0.0909,0.0000,0.0909,0.0000,0.4383
9,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5741
2,2.5000,0.0000,0.5000,0.0000,0.0000,0.0000,0.5000
87,2.4368,0.1724,0.5862,0.0460,0.1954,0.1149,0.5185
148,3.3784,0.4662,0.7432,0.1554,0.4257,0.0338,0.4383
84,3.1786,0.4048,0.8810,0.1548,0.4881,0.0119,0.5062
143,3.0909,0.5524,0.9580,0.1259,0.5175,0.0909,0.5864
39,2.2564,0.2051,0.4615,0.0256,0.1795,0.0256,0.4813
64,0.2031,0.0156,0.0156,0.0000,0.0000,0.0000,0.5185
124,3.3710,0.4677,0.8710,0.0323,0.4113,0.0081,0.4783
3,0.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.3519
10,0.9000,0.0000,0.1000,0.0000,0.0000,0.0000,0.4410
13,0.3846,0.0000,0.0769,0.0000,0.0000,0.0000,0.5802
34,3.2647,0.3235,0.6765,0.1471,0.5882,0.0294,0.5123
52,3.4038,0.5000,0.9423,0.1346,0.5385,0.0577,0.5617
24,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000,0.4012
9,2.3333,0.2222,0.3333,0.0000,0.0000,0.0000,0.5185
47,2.7234,0.3191,0.5745,0.0426,0.2766,0.0426,0.3519
67,2.6567,0.2388,0.5970,0.0000,0.2836,0.0149,0.4630
22,2.8182,0.1818,0.8182,0.0455,0.3182,0.0000,0.5185
2,3.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000
11,1.4545,0.0909,0.3636,0.0000,0.0000,0.0000,0.6049
44,2.7500,0.3864,0.5682,0.0909,0.3864,0.0000,0.5062
53,2.6038,0.2264,0.6038,0.1132,0.3585,0.0000,0.4568
72,3.5694,0.3056,1.0139,0.0694,0.4167,0.0417,0.3519
67,3.2239,0.4776,0.8657,0.1940,0.4925,0.0149,0.4136
124,3.1935,0.3790,0.9435,0.0565,0.3387,0.1290,0.4410
32,2.2500,0.2500,0.3438,0.0000,0.0625,0.0000,0.4410
150,3.6267,0.6533,1.1133,0.0933,0.3467,0.0000,0.5123
33,2.3333,0.1818,0.2727,0.0303,0.2727,0.0000,0.5741
36,3.1111,0.3056,0.6389,0.1111,0.2500,0.0000,0.5123
49,2.3265,0.2041,0.6122,0.0000,0.1837,0.0000,0.5185
24,0.0000,0.0417,0.0000,0.0000,0.0000,0.0000,0.6049
152,3.8618,0.4211,1.1118,0.0592,0.4474,0.0132,0.4383
13,1.2308,0.0000,0.0769,0.0000,0.1538,0.0000,0.5247
3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4815
15,1.4667,0.2667,0.3333,0.0667,0.2000,0.0000,0.4813
85,2.7176,0.2588,0.6824,0.0353,0.3647,0.0235,0.5062
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4813
85,1.9176,0.2824,0.5529,0.0824,0.2824,0.0235,0.6049
13,1.6154,0.0000,0.2308,0.0000,0.0769,0.0000,0.4630
32,0.0313,0.0313,0.0313,0.0000,0.0000,0.0000,0.5185
17,0.4118,0.1176,0.1176,0.0000,0.0000,0.0588,0.5370
23,1.2609,0.1304,0.2609,0.0000,0.0870,0.0870,0.4783
38,0.0526,0.0000,0.0000,0.0000,0.0000,0.0000,0.4815
34,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5741
71,0.1408,0.0141,0.0423,0.0000,0.0282,0.0000,0.4813
131,3.7939,0.5115,1.1832,0.0305,0.3282,0.1298,0.4630
153,3.4510,0.5490,0.9608,0.2026,0.6928,0.0261,0.5185
154,3.1364,0.4026,0.6299,0.1429,0.4870,0.0130,0.5185
7,1.5714,0.2857,0.5714,0.1429,0.1429,0.0000,0.5123
16,2.5625,0.1250,0.4375,0.0000,0.1250,0.0625,0.4136
21,2.9048,0.2857,0.4286,0.0000,0.0952,0.0000,0.4012
152,4.1382,0.5658,1.0789,0.0526,0.4211,0.1316,0.5062
143,3.6503,0.4545,0.9441,0.1119,0.5175,0.0420,0.4783
5,3.2000,0.0000,0.2000,0.0000,0.0000,0.0000,0.3519
31,0.6452,0.0323,0.0645,0.0000,0.0000,0.0000,0.5185
79,2.8861,0.1392,0.7215,0.0127,0.2911,0.0000,0.4136
19,2.8421,0.5263,0.5789,0.0000,0.1053,0.0000,0.4136
120,3.4250,0.6917,0.9417,0.0833,0.4167,0.0667,0.6049
50,0.2000,0.0000,0.0200,0.0000,0.0400,0.0000,0.5802
80,1.7500,0.1000,0.4000,0.0625,0.2625,0.0000,0.5370
24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4136
96,3.0000,0.3854,0.6667,0.0625,0.3021,0.0313,0.4383
98,2.8061,0.4184,0.7857,0.0408,0.2347,0.1429,0.4783
1,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6049
141,3.4255,0.4043,0.9007,0.1135,0.4965,0.0000,0.4136
16,0.1875,0.0000,0.0000,0.0000,0.0000,0.0000,0.4568
113,3.2832,0.4602,0.8407,0.2389,0.6106,0.0177,0.4630
48,1.3750,0.2292,0.4375,0.0417,0.1042,0.0625,0.5802
158,4.2089,0.8418,1.3671,0.1076,0.4747,0.1203,0.5123
18,0.7778,0.1667,0.2778,0.0000,0.0000,0.1667,0.5062
34,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5185
98,3.3163,0.3878,0.8265,0.0102,0.2041,0.1327,0.4815
34,2.2353,0.0588,0.2059,0.0000,0.0882,0.0000,0.5741
12,1.9167,0.0833,0.5000,0.0000,0.0833,0.0000,0.5062
136,3.5147,0.5294,1.1176,0.1029,0.4338,0.0735,0.4568
85,1.4941,0.1765,0.3294,0.0118,0.0706,0.0235,0.4815
74,3.5135,0.5000,0.9189,0.0811,0.4730,0.1081,0.5185
13,1.6154,0.3846,0.0769,0.0000,0.0769,0.3077,0.5185
27,3.3333,0.1481,0.6296,0.0370,0.2222,0.0741,0.4012
17,2.1176,0.2353,0.4706,0.0000,0.1176,0.0000,0.5185
8,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5185
35,2.2857,0.0857,0.2000,0.0000,0.0000,0.0286,0.4815
97,2.4742,0.2784,0.6186,0.0206,0.2474,0.0000,0.5617
51,2.7059,0.2941,0.7647,0.1373,0.5098,0.0588,0.5864
153,3.5556,0.4314,0.8954,0.1176,0.5294,0.0065,0.4815
57,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5123
153,3.7647,0.4510,0.9804,0.1242,0.6275,0.0654,0.5741
107,2.8879,0.2336,0.7570,0.0748,0.3364,0.0000,0.5617
58,0.5000,0.0517,0.0862,0.0000,0.0345,0.0000,0.4568
24,2.1667,0.2083,0.2500,0.0000,0.0417,0.0000,0.4410
20,2.7500,0.0500,0.3000,0.0000,0.1500,0.0000,0.5185
118,2.0847,0.2119,0.3983,0.0000,0.1610,0.0339,0.5864
71,1.8592,0.2817,0.5493,0.0563,0.3521,0.0282,0.5370
20,2.5500,0.1500,0.5000,0.0000,0.0500,0.0000,0.4012
124,3.2339,0.6532,0.9597,0.0000,0.2097,0.5806,0.5802
67,1.4179,0.0746,0.3433,0.0149,0.0299,0.0299,0.4410
135,3.3778,0.3852,0.9037,0.1778,0.5704,0.0222,0.4383
6,1.5000,0.3333,0.1667,0.0000,0.0000,0.0000,0.5185
53,1.3208,0.1321,0.3019,0.0000,0.2642,0.0000,0.4012
69,2.4348,0.2319,0.4493,0.0290,0.2029,0.0000,0.4783
152,3.6842,0.3816,0.9145,0.1118,0.5789,0.0000,0.5123
52,2.1731,0.1923,0.4231,0.0000,0.0577,0.0577,0.5741
31,1.8065,0.0645,0.2903,0.0323,0.0968,0.0000,0.5741
12,0.7500,0.1667,0.0000,0.0000,0.0000,0.0000,0.5123
